Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,51.312492,51.312492,48.499992,48.812508,593400,24.208816
2000-01-04,48.812508,49.249992,46.875,46.875,217600,23.247899
2000-01-05,47.125005,47.749995,46.624995,46.875,420900,23.247899
2000-01-06,46.999995,47.749995,46.125,47.749995,1203400,23.681858
2000-01-07,52.000008,54.0,51.75,52.125,2630100,25.851664000000003
2000-01-10,52.125,53.4375,50.749992,51.499992,774900,25.541688
2000-01-11,51.250008,51.812508,49.999992,50.187492,523500,24.890747
2000-01-12,50.4375,51.1875,50.374992,50.875008,1078900,25.231724
2000-01-13,50.937492,50.937492,49.812492,50.25,551500,24.921748
2000-01-14,50.374992,50.374992,48.625008,49.624992,741100,24.611772
2000-01-18,49.000008,49.187508,45.5625,46.6875,1312800,23.154908
2000-01-19,46.000005,47.875005,45.75,47.875005,899200,23.743857000000002
2000-01-20,49.000008,49.000008,47.312505,47.562495,862800,23.588866
2000-01-21,47.562495,48.0,46.000005,46.750005,755200,23.185907
2000-01-24,46.812495,46.812495,44.125005,44.312505,783900,21.977017
2000-01-25,44.374995,44.500005,42.75,43.125,556000,21.388068
2000-01-26,43.3125,44.625,41.8125,44.0625,1097700,21.853026
2000-01-27,43.999995,45.0,43.5,43.875,442500,21.760034
2000-01-28,43.624995,43.624995,42.0,42.1875,567100,20.92311
2000-01-31,42.124995,43.624995,41.687505,43.249995,387900,21.45006
2000-02-01,43.125,44.4375,43.125,44.125005,705400,21.884025
2000-02-02,44.125005,44.749995,42.75,43.062495,306100,21.357067999999998
2000-02-03,43.187505,43.562505,41.875005,42.5625,320400,21.109092999999998
2000-02-04,42.812505,43.000005,41.4375,41.937495,404400,20.799118
2000-02-07,42.0,42.437505,40.249995,40.937505,653200,20.303168
2000-02-08,40.937505,42.250005,40.937505,40.937505,587700,20.303168
2000-02-09,41.125005,41.187495,38.187495,38.687505,1052100,19.187269
2000-02-10,39.1875,39.250005,37.624995,37.812495,828600,18.753303
2000-02-11,37.812495,37.812495,35.374995,35.500005,843300,17.606412
2000-02-14,35.749995,38.8125,35.625,38.187495,763600,18.939286
2000-02-15,38.4375,41.937495,38.4375,41.687505,1480000,20.675134
