Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,20.375,20.5,19.8125,20.3125,7242000,4.212828
2000-01-04,20.0625,20.25,18.625,19.25,9108400,3.992465
2000-01-05,19.25,19.4375,18.6875,18.6875,12011200,3.8758019999999997
2000-01-06,20.0,20.75,19.6875,19.8125,13496000,4.109127
2000-01-07,19.875,20.8125,19.5,20.3125,8710000,4.212828
2000-01-10,20.1875,20.3125,19.9375,20.0,7616400,4.148015
2000-01-11,20.0,20.1875,19.625,19.6875,9789200,4.083202
2000-01-12,19.6875,19.75,19.5,19.5,8188800,4.044315
2000-01-13,19.5,19.6875,19.0625,19.5,9368800,4.044315
2000-01-14,19.4375,19.9375,19.375,19.6875,4632400,4.083202
2000-01-18,19.4375,19.5625,18.9375,19.0625,3944000,3.9535769999999997
2000-01-19,19.3125,19.375,18.375,18.4375,7242800,3.823951
2000-01-20,18.875,19.0,18.1875,18.5,4619600,3.836914
2000-01-21,18.25,18.3125,16.875,17.25,21694800,3.577663
2000-01-24,16.75,17.1875,16.5,16.625,14191200,3.448038
2000-01-25,16.625,17.1875,16.5625,17.0,6583600,3.525813
2000-01-26,16.8125,17.5,16.8125,17.375,8232800,3.603588
2000-01-27,17.3125,17.8125,16.875,17.125,6114400,3.551738
2000-01-28,16.875,16.9375,16.25,16.3125,6966000,3.383225
2000-01-31,16.375,16.5,16.0625,16.3125,5648400,3.383225
2000-02-01,16.0625,16.6875,16.0625,16.625,5247600,3.448038
2000-02-02,16.6875,17.75,16.0625,17.5,5960800,3.6295129999999998
2000-02-03,17.25,18.5625,17.0,18.1875,11160800,3.772101
2000-02-04,18.1875,18.625,17.25,18.3125,10744400,3.798026
2000-02-07,17.875,17.9375,16.9375,17.1875,8986800,3.5647
2000-02-08,17.375,17.75,17.375,17.5625,6589600,3.6499080000000004
2000-02-09,17.5,17.5,17.0,17.0625,4532400,3.5459959999999997
2000-02-10,17.0,17.5,16.375,17.25,4624800,3.5849629999999997
2000-02-11,17.375,17.375,16.375,16.75,4717600,3.4810510000000003
2000-02-14,16.8125,16.875,16.3125,16.6875,3272800,3.468062
2000-02-15,16.6875,16.6875,16.125,16.3125,4661600,3.390128
